appID,title,manual_label,capabilities
com.maps.voice.navigation.traffic.gps.location.route.driving.directions,"GPS, Maps, Voice Navigation & Directions",N,
com.chartcross.gpstest,GPS Test,N,
com.pixel.art.happy.color.by.number.paint.coloring.free.huawei,Color by Number - Happy Paint,N,
cn.appfly.kuaidi,Express query collection,N,
com.sssgov.sssmobileapp,SSS Mobile App,N,
com.kartatech.karta.gps.huawei,GPS map,N,
com.creative.sandbox.number.drawning.coloring.huawei,Color by number-No.Draw,N,
com.broadlearning.eclassteacher,eClass Teacher App,N,
com.bagusgameapp.BedazzlebyNumber,Bedazzle by Number!,N,
com.gps.tracking.map.routetracking,GPS Tracking Route Map,N,
com.paint.by.number.relax.pixel.art.drawing.happy.book.free.huawei,Paint by number - Relax,N,
running.tracker.gps.map,Running record,N,
com.appscourt.livestreetview.gps.maps.travelnavigation.apps,Live Satellite View GPS Map Travel Navigation,N,
duleaf.duapp.splash,of the app,N,
com.color.by.number.paint.ly.pixel.art,Paint.ly Color by Number,N,
com.coolgamapp.pixel4k.huawei,Color by numbers for kids coloring book,N,
com.indyzalab.transitia,ViaBus - Transit Tracking & Navigation,N,
com.caynax.sportstracker,"GPS Sports Tracker App: running, walking, cycling",N,
com.alibonus.parcel,Megabonus – Finding your parcel by tracking number,N,
com.coolgamapp.sudoku4u.huawei,Sudoku puzzles for Sudoku enthusiasts,N,
luo.gpsspeed_pro.huawei,GPS Speedometer Pro,N,
com.orangestudio.calculator,Orange calculator,N,
com.candl.athena,CALCU™ Fashion Calculator,N,
com.everydaycalculation.casiocalculator_huawei,Calculator,N,
com.app.calculator.vault.hider,Calculator Vault : App Hider - Hide Apps,N,
com.differ.xiaoming,Xiaoming Calculator,N,
com.hld.anzenbokusufake,Calculator - Photo Vault hide photos & videos,N,
com.juzipie.supercalculator,Calculator Pro,N,
cz.hipercalc,HiPER Scientific Calculator,N,
uk.co.nickfines.RealCalc,RealCalc Scientific Calculator,N,
com.as.klogger,Keylogger,N,
com.orangestudio.bmi,BMI calculator,N,
com.hld.anzenbokusucal,Calculator - Photo Vault & Video Vault hide photos,N,
com.smartappsdeveloperspak.smartkeylogger,Smart keylogger,N,
com.nstudio.calc.casio.business,Scientific Calculator 991 plus,N,
ru.arybin.modern.calculator,Calculator Raduga,N,
com.sangiorgisrl.wpacal,Wpa Calculator,N,
com.free.mortgage.calculator.online.tareq,Mortgage Calculator - mortgage payment calculator,N,
org.whiteglow.quickeycalculator,Quickey Calculator,N,
com.as.urllogger,URL Logger,N,
com.vitotechnology.Ephemeris,Ephemeris – solar and lunar calendar,N,
com.entiseyinapps.calaculatorapps212e,Scientific calculator,N,
com.joker.lobby,MIMI Calculator,N,
io.ionic.gpacalculator,GPA Calculator,N,
com.aiuspaktyn.calendarcalc,Computer data,N,
com.khiridla.scientificcalculator,Calculator,N,
com.hetao.call,Walnut phone,N,
com.oppanagames.car.simulator.huawei,Car Simulator 2,N,
com.jycx.jssc.huawei,Fast racing,N,
com.py.cloneapp.huawei,Clone App-multiple accounts & fake gps,N,
com.igame.qdwh.pbr.huawei,Pixel square racing,N,
com.igame.gzyh.scs.huawei,Speed Hero,N,
com.application_4u.qrcode.barcode,Free QR code Scanner app,N,
com.wevemob.parkmaster.huawei,Park My Car,N,
com.simplescan.scanner,Simple Scan - Free PDF Scanner App,N,
com.zxtw.carparking,Car parking lot,N,
com.hasan.lambdavpn,Vpn Network,N,
com.igame.njsr.cps.huawei,Parking simulator,N,
com.kylin.dragracing.huawei,Car Driving,N,
com.edjing.edjingdjturntable,edjing Mix: DJ music mixer,N,
com.igame.njps.cp.huawei,Parking expert,N,
com.mgame.h.crcr.huawei,Crazy Car Racing,N,
com.YovoGames.carwash4,car wash,N,
com.zxtw.thecariscoming,The car is coming,N,
com.cchl.jcddscd.huawei,Street car driving,N,
cn.orangelemon.carwash.huawei,Car Wash Salon,N,
com.pandavpnfree.androidproxy,PandaVPN Free-Be the best and fastest permanent free VPN,N,
com.surfshark.vpnclient.android,Surfshark VPN: Best VPN for Android,N,
com.bestringtonesapps.bestringtonesfree.huawei,Best Free Ringtones,N,
com.soodexlabs.sudoku2,Best Sudoku (free),N,
com.cyberlink.powerdirector.DRA140225_01,PowerDirector-Video Editing App Professional Video Production Tool,N,
com.nsshighway.racing.car.rider,car game for kids,N,
com.rstream.hairstyles,Hairstyles for your face : Free Hair salon,N,
com.superant.superpoker.oversea.huawei,Super Texas Hold&#39;em,N,
com.nssburnout.bus.simulator,best games,N,
com.fungamesforfree.colorfy,Colorfy: Free Coloring Book for Adults - Best Coloring Apps,N,
com.gc.tracks.cycle.race,games,N,
com.gcsgunstrike.counterstrike.fps,shooting connecticut,N,
me.skyvpn.app,SkyVPN - Best Free VPN Proxy for Secure WiFi Hotspot,N,
jump.rope.workout.counter,Jump rope workout: Jump rope exercise app,N,
org.zwanoo.android.speedtest,Speedtest by Ookla,N,
com.hicloud.android.clone,Phone clone,N,
cc.maria.ringtone.phone.huawei,Ringtones,N,
com.hktpayment.tapngo,Tap & Go by HKT,N,
com.phone.hdmovies.videoleague,Mobile movie,N,
me.dingtone.app.im,"Dingtone - Free phone calls, free texting SMS on free number",N,
com.melele.cartablanca,Free Cell,N,
com.hyygame.diycolorphonecase.huawei,DIY Color Phone Case,N,
com.eclipsim.gpsstatus2,GPS Status & Toolbox,N,
com.freewhaleringtone.whalesoundforcellphone,Free whale ringtone and whale sound for cell phone,N,
v.d.d.answercall,Phone + Contacts and Calls,N,
com.appytools.mobilephone.repairing,Cell phone repair - All brands,N,
com.course.smartphone.repair,Learn to Repair your cell phone,N,
com.newringtones.free.ringtone.classicphoneringtones,Classic ringtones,N,
com.almdroid.phonebackup,Phone backup,N,
com.popularapp.periodcalendar,Small monthly calendar,N,
steptracker.healthandfitness.walkingtracker.pedometer,Step Tracker - Pedometer Free & Calorie Tracker,N,
com.runtastic.android,adidas Running by Runtastic: exercise assistant training plan running fitness app,N,
com.flightradar24free,Flightradar24 Flight Tracker,N,
cc.pacer.androidapp,Move,N,
net.whph.app.weighttracker,Weight record,N,
com.flighttracking.shiptracker,Marine radar-ship tracker,N,
periodtracker.pregnancy.ovulationtracker,Small monthly calendar,N,
com.clover.ibetter,iBetter,N,
com.vitotechnology.SatelliteTracker,Satellite Tracker by Star Walk-Satellite Observation Guide,N,
com.altimeter.hms.huawei,Altimeter & Sport Tracker,N,
com.small.target,Reach the goal,N,
com.baby.pregnancytracker,Pregnancy tracker,N,
com.freeapps.batterycharge,Battery Tracker-Battery Charger,N,
my.com.tracking.app,Tracking.my - Malaysia Package Tracker,N,
com.cxt.expense.manager.huawei,Expense Manager-Money Budget Finance Tracker,N,
com.mmd.fperiod,Memeda Calendar,N,
com.hw.appgallery.callerid,"True Caller ID - Mobile Number Location, Mobile Number Tracker",N,
com.womanlog.huawei,WomanLog Calendar,N,
com.ktechsystems.moneytrackerpro,Money Tracker,N,
hk.edu.ouhk.etpu.milestonetracker,Milestone Tracker,N,
com.helentaylor.habit_tracker,Habit Tracker,N,
mtirtapradja.project.huawei.masktracker,Mask Tracker,N,
org.sadaf.ringtone.ringtonephone,Ringtones: Free cell phone ringtones,N,
com.drink.water.fun.hw,iDrink,N,
com.remind4u2.list.sounds.ios7.huawei,Ringtones For Your Phone,N,
PhoneCaseDIY.huawei,Phone Case DIY,N,
com.bilibili.app.in,bilibili-HD Xinfan original video community,N,
hk.gov.ogcio.iamsmart,Smart and convenient,N,
hk.com.broadway,Broadway,N,
gd.com.client.broadway,Broadway Circuit Broadway Circuit,N,
com.huawei.health,Sports Health,N,
com.pandavpn.androidproxy,PandaVPN Pro-To be the world&#39;s fastest &amp; most private and secure VPN,N,
com.jingdong.app.mall,Jingdong,N,
com.bochk.bocpay,BoC Pay,N,
com.hangseng.rbmobile,Hang Seng Personal Mobile Banking Services,N,
com.alibaba.android.rimet,Nailed,N,
com.playrix.gardenscapes.huawei,Gardenscapes,N,
cn.futu.trader,Futu Niuniu,N,
com.sf.iapp,SF International,N,
com.droid4you.application.wallet,"Wallet-funds, budget, financial tracking",N,
com.tomatogames.tmjh.huawei,I have a city in Jianghu,N,
com.mxtech.videoplayer.ad,MX player,N,
com.szckhd.jwgly.ftaz.huawei,Call me the official master,N,
com.alibaba.intl.android.apps.poseidon,Alibaba.com,N,
com.xunrui.duokai_box,Application clone,N,
com.midu.lock,Fingerprint App Lock-Privacy and Security Protection,N,
com.app.hider.master.pro.cn,App Hide Master,N,
com.jtjsb.yymms,Application password lock,N,
cn.androidfun.apkfetch,Extract the application APK installation package,N,
com.gtdev5.app_lock,Application lock (upgraded version),N,
com.igg.lordsmobile.huawei,Kingdom Era (Lords Mobile),N,
hk.gov.immd.mobileapps,Hong Kong Immigration Department,N,
com.ringtone.mobilephoneringtones,Ringtones,N,
com.nwmobile.app,SUN Mobile,N,
com.birdiemobile.sim,Birdie Mobile,N,
com.dbs.ideal,DBS IDEAL,N,
za.co.ecompen.prudential,Prudential Mobile,N,
com.bluedot.ringtone.mobilephone.huawei,Ringtones and wallpapers,N,
com.abisoft.mobilephonewalpaper,mobile phone wallpaper,N,
org.videolan.vlc,VLC for Android,N,
com.bestringtonesapps.freeringtonesforandroid.huawei,Ringtones Android™,N,
com.callof.duty.roblox.ball.huawei,Basketball Legends -  League Tactics 3D,N,
com.suhasoft.pdf,PDF,N,
com.ivilamobie.pdfreader.pdfeditor,PDF reader for Android,N,
sk.forbis.videoandmusic,Video Player & Downloader for Android,N,
com.jb.gokeyboard.theme.tmekeyboardthemeforandroid,Keyboard Themes For Android,N,
com.dtsolution.ScreenMirroring.gfx,Miracast for Android to tv : Wifi Display,N,
com.devexpert.weather,Weather and clock widget for Android (weather forecast),N,
org.torproject.android,Orbot Tor for Android,N,
com.galbro.cataloneandroidmamistazozo,Cat games,N,
com.settrade.streaming,Streaming for Android,N,
com.nsgsfps.commando.battleground.strike,mini games,N,
com.quran.labs.androidquran,Quran for Android,N,
com.jami.tool.hiddensetting.huawei,Android Hidden Settings,N,
com.superandroid.quicksettings,Android Quick Settings-Common Switches,N,
com.nsgstoucangames.world.wrestling.ring.wrestlinggames,online fighting games,N,
com.nirvana.qrscanner,Barcode Reader App,N,
com.eagleheart.tomvpn.flutter,"TomVPN - Fast, Secure and Unlimited for Android",N,
com.coolgamapp.paint.by.number.paint4u.huawei,Coloring by number cute coloring painting,N,
org.wallpaper.android.phone.app.bakemonogatariwallpaper,HD wallpapers: free phone wallpapers,N,
com.ringtones.b3.huawei,Free Ringtones - Phone Ringtones,N,
com.turbobooster.turbocooler.cpumaster.turbocleaner2020,Free phone cleaner PRO App,N,
com.xr.cffpg.huawei,Coloring Flowers-Free Painting Game,N,
hua.color.flags.bynumber.paint.bynumber.flagscoloring.colorbynumber,PixelArt Color By Number :Flags Coloring By Number-Free Coloring,N,
com.smallyin.moreopen,Open more apps,N,
com.hangseng.cmbmobileapp,Hang Seng Commercial,N,
com.scb.breezebanking.ke,SC Mobile Kenya,N,
com.mobile01.android.forum,Mobile01,N,
hk.org.jpc.memberapp,Juvenile Police Call Mobile App,N,
com.scb.pk.bmw,SC Mobile Pakistan,N,
hk.gov.wsd.ccbs.activity,WSD Mobile App,N,
my.com.hongleongconnect.mobileconnect,HLB Connect Mobile Banking App,N,
com.pst.poemsii,POEMS Mobile,N,
com.bochk.igtb,BOCHK iGTB MOBILE,N,
com.askari,Askari Mobile App,N,
com.drink.water.reminder.alarm.tracker.huawei,"Waterful - Drinking Reminder, Hydration Tracker",N,
weight.diary.weight_tracker,Weight Tracker,N,
com.gotokeep.keep.intl,Keep-Trainer,N,
homeworkout.homeworkouts.noequipment,Personal fitness trainer,N,
pro.huobi,Huobi,N,
com.uthink.ring,Excellent living bracelet,N,
com.gen.bettermen,BetterMen: Workout Trainer,N,
fatburningworkout.feeltheburn.burnfatworkout,Fat Burning Exercise-Lose Weight at Home,N,
com.pl.premierleague,Premier League - Official App,N,
ru.mail.mailapp,Mail.ru - Email App,N,
com.musicmusica.scanqr,QR Code Reader and Scanner - Free QR Scanner,N,
co.appedu.snapask,Snapask: Personalized Study App,N,
com.email.fast.secure.mail,Email App,N,
com.outfit7.talkingtomgoldrun.global.huawei,Talking Tom Parkour,N,
com.outfit7.herodash.global.huawei,Talking Tom Hero Parkour,N,
com.caonigame.kzbbt.huawei,Bounce in the air,N,
com.fengshows.video,Phoenix Show,N,
com.android.mediacenter,Huawei Music Player,N,
com.bocionline.ibmp,Bank of China International,N,
com.cx.dhcs.huawei,Hero Deer City Simulator,N,
com.huawei.music,Huawei Music,N,
com.sinyee.babybus.hero,Baby Career DreamWorks,N,
com.dflj.spiero.huawei,Balance acrobatics,N,
com.happy.box.com.chinese.writing.cn,Children&#39;s literacy and word puzzle writing board,N,
com.sinyee.babybus.dailysafety,Baby&#39;s daily safety,N,
com.gkq.bbc.huawei,"[""Baldi's Basics Classic""]",N,
com.supreme.stickman.project.stick.fight.huawei,Supreme Stickman Fighting: Stick Fight Games,N,
com.herocraft.game.cut.arcade.catchthecandy.prem,Catch the Candy: Reissue,N,
com.sinyee.babybus.ambulance,Baby Ambulance Manual,N,
com.imate.deer.hunter.free.online.games.fun.shooting.games,Deer Hunter Sniper Shooting Game: Offline Survival Gun Shooting Game,N,
com.gb.anime.schoolgirl.simulator.huawei,Anime High School Simulator,N,
com.sinyee.babybus.seaworld,Baby Fishing-Children&#39;s Fish Early Education Enlightenment,N,
com.coolgamapp.carcrashjump.huawei,Car Stunts 3D Ramp Car Racing Games - Ramp Car Stunt Racing,N,
com.lp.superhero.bike.stunts.race.huawei,Superhero bike stunt racing in bike racing games for kids,N,
com.sevval.Gvernal3d,Fire Truck Simulator-Truck Game 2021,N,
com.superhero.tricky.bike.racing.huawei,Superhero bike stunt racing in bike racing games for kids,N,
es.monkimun.lingokids,Lingokids,N,
com.epsxe.ePSXe,ePSXe for Android,N,
exa.excel.base,Linux On Android,N,
tsoiyatshing.hikingtrailhk.huawei,Hong Kong hiking trails,N,
com.VirtualMaze.gpsutils,GPS Tools®,N,
info.swappdevmobile.lbgooglemapShare,GPS Location Maps,N,
com.yafursolutions.smsgpslocation,SMS GPS Location,N,
net.cnmaps.altitude,GPS altitude table,N,
bsdd.waad.tdse,Baidou Satellite Map,N,
joagido.carparking,GPS CAR PARK LOCATION SAVER,N,
com.aristocracy.locator,Locator- Location Tracker & GPS Navigation,N,
